j_reset_real 0 00100000 B               reset; Branch
sub_10851C 8 001085d8 ADD             R1, SP, #0x18; Rd = Op1 + Op2
sub_10851C 9 001085ec MOV             R4, #3; Rd = Op2
sub_10851C 10 001085f0 MOV             R0, R4; Rd = Op2
sub_10851C 11 001085f4 ADD             SP, SP, #0x48; Rd = Op1 + Op2
sub_10851C 12 001085fc MOV             R2, #3; Rd = Op2
sub_10851C 13 00108614 ADD             R1, SP, #0x24; Rd = Op1 + Op2
sub_10851C 14 00108628 LDR             R0, [SP,#0x24]; Load from Memory
sub_10851C 15 00108654 STR             R0, [SP,#0x34]; Store to Memory
sub_10851C 16 00108670 MOV             R2, #2; Rd = Op2
sub_10851C 17 00108688 LDR             R0, [SP,#8]; Load from Memory
sub_10851C 18 00108694 LDR             R0, [SP,#0]; Load from Memory
sub_10851C 19 001086a4 LDR             R0, [SP,#8]; Load from Memory
sub_10851C 20 001086b0 LDR             R0, [SP,#0]; Load from Memory
sub_10851C 21 001086d8 LDR             R0, [SP,#8]; Load from Memory
sub_10851C 22 001086e4 LDR             R0, [SP,#0]; Load from Memory
sub_10851C 23 001086f4 LDR             R0, [SP,#8]; Load from Memory
sub_10851C 24 00108700 ADD             SP, SP, #0x48; Rd = Op1 + Op2
sub_10851C 25 0010870c LDR             R0, [SP,#0]; Load from Memory
sub_10851C 26 00108728 B               loc_1086B0; Branch
sub_10851C 27 0010872c LDR             R0, [SP,#0]; Load from Memory
sub_10851C 28 00108748 LDR             R0, [SP,#0]; Load from Memory
sub_10851C 29 00108770 B               loc_1085D8; Branch
sub_108778 0 00108778 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_108778 1 00108798 MOV             R2, #0x10; Rd = Op2
sub_108778 2 001087ac MOV             R2, #6; Rd = Op2
sub_108778 3 001087c4 MOV             R2, #0; Rd = Op2
sub_108778 4 001087dc LDR             R0, [SP,#8]; Load from Memory
sub_108778 5 001087e8 LDR             R1, [SP,#0]; Load from Memory
sub_108778 6 00108808 LDR             R0, [SP,#8]; Load from Memory
sub_108778 7 00108814 LDR             R1, [SP,#0]; Load from Memory
sub_108778 8 00108830 LDR             R0, [SP,#8]; Load from Memory
sub_108778 9 0010883c LDR             R1, [SP,#0]; Load from Memory
sub_108778 10 00108858 LDR             R0, [SP,#8]; Load from Memory
sub_108778 11 00108864 B               loc_1088AC; Branch
sub_108778 12 00108868 STR             R0, [R4,#0]; Store to Memory
sub_108778 13 0010886c ADD             R1, SP, #0xC; Rd = Op1 + Op2
sub_108778 14 00108880 MOV             R5, #3; Rd = Op2
sub_108778 15 00108884 MOV             R0, R5; Rd = Op2
sub_108778 16 00108888 ADD             SP, SP, #0x28; Rd = Op1 + Op2
sub_108778 17 00108890 LDR             R1, [SP,#0]; Load from Memory
sub_108778 18 001088ac MOV             R0, #4; Rd = Op2
sub_1088C4 0 001088c4 STMFD           SP!, {R4-R7,LR}; Store Block to Memory
sub_1088C4 1 001088e4 ADD             R1, R5, #0x100; Rd = Op1 + Op2
sub_1088C4 2 001088f4 LDR             R0, [R5,#0x100]; Load from Memory
sub_1088C4 3 00108904 LDR             R1, [R5,#0x1C]; Load from Memory
sub_1088C4 4 00108910 MOV             R2, #3; Rd = Op2
sub_1088C4 5 00108928 ADD             R1, SP, #0xC; Rd = Op1 + Op2
sub_1088C4 6 00108944 MOV             R7, #3; Rd = Op2
sub_1088C4 7 00108948 MOV             R0, R7; Rd = Op2
sub_1088C4 8 0010894c ADD             SP, SP, #0x1C; Rd = Op1 + Op2
sub_1088C4 9 00108954 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1088C4 10 0010895c MOV             R0, R6; Rd = Op2
sub_1088C4 11 00108974 STR             R4, [R5,#0x28]; Store to Memory
sub_1088C4 12 00108990 ADD             SP, SP, #0x1C; Rd = Op1 + Op2
sub_108998 0 00108998 STMFD           SP!, {R4,R5,LR}; Store Block to Memory
sub_108998 1 001089b8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_108998 2 001089c0 MOV             R1, R5; Rd = Op2
sub_108998 3 001089d4 MOV             R4, #3; Rd = Op2
sub_108998 4 001089d8 ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_1089E4 0 001089e4 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1089E4 1 00108a04 MOV             R2, #0x10; Rd = Op2
sub_1089E4 2 00108a18 MOV             R2, #0x17; Rd = Op2
sub_1089E4 3 00108a30 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_1089E4 4 00108a38 B               loc_108A58; Branch
sub_1089E4 5 00108a3c MOV             R2, #1; Rd = Op2
sub_1089E4 6 00108a54 B               loc_108A88; Branch
sub_1089E4 7 00108a58 MOV             R2, #0; Rd = Op2
sub_1089E4 8 00108a70 MOV             R2, #0; Rd = Op2
sub_1089E4 9 00108a88 MOV             R2, #0x17; Rd = Op2
sub_1089E4 10 00108aa0 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_1089E4 11 00108aa8 B               loc_108B0C; Branch
sub_1089E4 12 00108aac MOV             R2, #1; Rd = Op2
sub_1089E4 13 00108ac4 B               loc_108AF8; Branch
sub_1089E4 14 00108ac8 MOV             R2, #0; Rd = Op2
sub_1089E4 15 00108ae0 MOV             R2, #0; Rd = Op2
sub_1089E4 16 00108af8 MOV             R1, SP; Rd = Op2
sub_1089E4 17 00108b0c MOV             R5, #3; Rd = Op2
sub_1089E4 18 00108b10 MOV             R0, R5; Rd = Op2
sub_1089E4 19 00108b14 ADD             SP, SP, #0x10; Rd = Op1 + Op2
sub_108B1C 0 00108b1c STMFD           SP!, {R4,R5,LR}; Store Block to Memory
sub_108B1C 1 00108b3c MOV             R2, #0xA0; Rd = Op2
sub_108B1C 2 00108b50 MOV             R0, #0; Rd = Op2
sub_108B1C 3 00108b60 MOV             R2, #2; Rd = Op2
sub_108B1C 4 00108b80 LDR             R0, [R4,#4]; Load from Memory
sub_108B1C 5 00108b94 MOV             R5, #3; Rd = Op2
sub_108B1C 6 00108b98 MOV             R0, R5; Rd = Op2
sub_108B1C 7 00108b9c ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_108BA4 0 00108ba4 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_108BA4 1 00108bcc LDR             R4, [R7,#0]; Load from Memory
sub_108BA4 2 00108bdc CMP             R4, R8; Set cond. codes on Op1 - Op2
sub_108BA4 3 00108be8 MOV             R1, R0; Rd = Op2
sub_108BA4 4 00108c00 MOV             R5, #3; Rd = Op2
sub_108BA4 5 00108c08 LDR             R0, [SP,#0]; Load from Memory
sub_108BA4 6 00108c18 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_108BA4 7 00108c20 LDR             R1, [SP,#8]; Load from Memory
sub_108BA4 8 00108c34 ADD             R0, R0, R4; Rd = Op1 + Op2
sub_108BA4 9 00108c40 CMP             R8, R0; Set cond. codes on Op1 - Op2
sub_108BA4 10 00108c48 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_108BA4 11 00108c50 MOV             R9, #1; Rd = Op2
sub_108BA4 12 00108c58 LDR             R1, [R7,#0]; Load from Memory
sub_108BA4 13 00108c74 ADD             R6, R6, #1; Rd = Op1 + Op2
sub_108BA4 14 00108c80 ADD             SP, SP, #0x10; Rd = Op1 + Op2
initialize_some_pblstruct_callbacks 0 00108c8c STMFD           SP!, {R4,LR}; Store Block to Memory
initialize_some_pblstruct_callbacks 1 00108c98 MOV             R3, #0; a4
initialize_some_pblstruct_callbacks 2 00108cac MOV             R1, #4; Rd = Op2
initialize_some_pblstruct_callbacks 3 00108cc0 MOV             R3, #4; a4
initialize_some_pblstruct_callbacks 4 00108cd4 LDR             R0, =sub_103A44; Load from Memory
sub_108D74 0 00108d74 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_108D74 1 00108da0 LDR             R3, [R4,#0x34]; Load from Memory
sub_108D74 2 00108dc0 LDR             R3, [R2,#0x2C]; Load from Memory
sub_108D74 3 00108dcc LDR             R3, [R2,#0x2C]; Load from Memory
sub_108D74 4 00108de8 MOV             R3, R0; Rd = Op2
sub_108D74 5 00108df8 LDR             R3, [R4,#0xC]; Load from Memory
sub_108D74 6 00108e04 CMP             R0, #0x8000; Set cond. codes on Op1 - Op2
sub_108D74 7 00108e18 LDR             R3, [R1,#0]; Load from Memory
sub_108D74 8 00108e2c CMP             LR, #4; Set cond. codes on Op1 - Op2
sub_108D74 9 00108e38 LDR             LR, [R1,#0x1C]; Load from Memory
sub_108D74 10 00108e50 CMP             R3, #0x18; Set cond. codes on Op1 - Op2
sub_108D74 11 00108e5c ORR             R0, R0, #0x1000; Rd = Op1 | Op2
sub_108D74 12 00108e60 LDR             LR, [R4,#0x34]; Load from Memory
sub_108D74 13 00108e80 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_108D74 14 00108e88 LDR             R0, [R1,#0]; Load from Memory
sub_108D74 15 00108e98 LDR             R0, [R1,#8]; Load from Memory
sub_108D74 16 00108ea4 LDR             R5, [R4,#0x34]; Load from Memory
sub_108D74 17 00108eb0 LDR             R0, [R5,#0x28]; Load from Memory
sub_108D74 18 00108ec4 LDR             R2, [R5,#0x2C]; Load from Memory
sub_108D74 19 00108ed8 LDR             R0, [R4,#0x34]; Load from Memory
sub_108D74 20 00108ef0 MOV             R0, #0xA; Rd = Op2
sub_108D74 21 00108f08 CMP             R5, #0x320; Set cond. codes on Op1 - Op2
sub_108D74 22 00108f10 LDR             R1, [R4,#0x34]; Load from Memory
sub_108D74 23 00108f2c LDR             R0, [R4,#0x34]; Load from Memory
sub_108D74 24 00108f44 MOV             R0, #0xA; Rd = Op2
sub_108D74 25 00108f5c MOV             R0, R8; Rd = Op2
sub_108D74 26 00108f64 MOV             R8, R9; Rd = Op2
sub_108D74 27 00108f6c TST             R0, #4; Set cond. codes on Op1 & Op2
sub_108D74 28 00108f74 LDR             R0, [R5,#0x2C]; Load from Memory
sub_108D74 29 00108f84 TST             R0, #1; Set cond. codes on Op1 & Op2
sub_108D74 30 00108f8c LDR             R0, [R1,#0]; Load from Memory
sub_108D74 31 00108fb0 STR             R12, [R2,#0x28]; Store to Memory
sub_108D74 32 00108fc4 LDR             R0, [R2,#0x2C]; Load from Memory
sub_108D74 33 00108fd0 LDR             R0, [R2,#0x2C]; Load from Memory
sub_108D74 34 00108fec LDR             R0, [R4,#0xC]; Load from Memory
sub_108D74 35 00108ffc LDR             R0, [R1,#8]; Load from Memory
sub_108D74 36 0010900c CMP             R0, #4; Set cond. codes on Op1 - Op2
sub_108D74 37 00109028 LDR             R12, [R4,#0x34]; Load from Memory
sub_108D74 38 00109044 LDR             R0, [R1,#8]; Load from Memory
sub_108D74 39 00109050 LDR             R0, [R1,#0xC]; Load from Memory
sub_108D74 40 00109070 LDR             R0, [R1,#8]; Load from Memory
sub_108D74 41 0010907c LDR             R0, [R1,#0xC]; Load from Memory
sub_108D74 42 00109098 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_108D74 43 001090a0 LDR             R0, [R1,#0x1C]; Load from Memory
sub_108D74 44 001090ac LDR             R6, [R4,#0x34]; Load from Memory
sub_108D74 45 001090b8 LDR             R0, [R6,#0x28]; Load from Memory
sub_108D74 46 001090cc LDR             R1, [R6,#0x2C]; Load from Memory
sub_108D74 47 001090e0 MOV             R0, #0xA; Rd = Op2
sub_108D74 48 001090f8 MOV             R0, R7; Rd = Op2
sub_10910C 0 0010910c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_10910C 1 00109120 CMP             R2, #1; Set cond. codes on Op1 - Op2
sub_10910C 2 00109128 MOV             R3, R4; a4
sub_10910C 3 0010913c LDR             R0, [R5,#0x28]; Load from Memory
sub_10910C 4 00109148 LDR             R0, [R5,#0x34]; Load from Memory
sub_10910C 5 00109160 B               loc_109194; Branch
sub_10910C 6 00109164 LDR             R0, [R5,#0]; Load from Memory
sub_10910C 7 00109170 CMP             R0, #6; Set cond. codes on Op1 - Op2
sub_10910C 8 00109180 BL              sub_105390; Branch with Link
sub_10910C 9 00109194 LDR             R2, =0xB8200; a3
sub_10910C 10 001091a8 STR             R4, [R5,#0x28]; Store to Memory
sub_10910C 11 001091ac LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_1091BC 0 001091bc STMFD           SP!, {R4-R9,LR}; Store Block to Memory
sub_1091BC 1 001091e8 MOV             R3, R7; a4
sub_1091BC 2 001091fc LDR             R0, [R4,#0x1C]; Load from Memory
sub_1091BC 3 00109228 MOV             R0, #0x37; Rd = Op2
sub_1091BC 4 00109254 MOV             R1, R5; Rd = Op2
sub_1091BC 5 00109268 STR             R8, [SP,#0]; Store to Memory
sub_1091BC 6 00109288 TST             R6, #1; Set cond. codes on Op1 & Op2
sub_1091BC 7 00109290 MOV             R1, #0; Rd = Op2
sub_1091BC 8 00109294 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_1091BC 9 001092a0 MOV             R0, #0xC; Rd = Op2
sub_1091BC 10 001092c4 LDR             R1, [R4,#0x34]; Load from Memory
sub_1091BC 11 001092d8 ADD             SP, SP, #0x24; Rd = Op1 + Op2
sub_1091BC 12 001092e0 LDR             R0, [R5,#0]; Load from Memory
sub_1091BC 13 001092f4 B               loc_109294; Branch
sub_109314 0 00109314 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_109314 1 00109360 MOV             R3, R10; Rd = Op2
sub_109314 2 0010937c LDR             R1, [R5,#0x44]; Load from Memory
sub_109314 3 00109388 LDR             R11, [R12,#0x50]; Load from Memory
sub_109314 4 0010939c LDR             R0, [R6,#0]; Load from Memory
sub_109314 5 001093e8 LDRH            R0, [SP,#0x14]; Load from Memory
sub_109314 6 001093f8 LDRH            R0, [SP,#0x16]; Load from Memory
sub_109314 7 0010940c ADD             R2, R10, R0; Rd = Op1 + Op2
sub_109314 8 00109424 ADD             R0, R0, #1; Rd = Op1 + Op2
sub_109314 9 00109430 CMP             R0, #8; Set cond. codes on Op1 - Op2
sub_109314 10 00109438 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_109314 11 00109440 LDR             R2, [R6,#0x20]; Load from Memory
sub_109314 12 0010945c LDR             R4, [R12,#0x28]; Load from Memory
sub_109314 13 00109470 LDR             R2, [R12,#0x30]; Load from Memory
sub_109314 14 00109484 SUBS            R1, R2, R7; Rd = Op1 - Op2
sub_109314 15 00109490 LDR             R0, [R5,#0x44]; Load from Memory
sub_109314 16 001094c8 LDR             R0, [R12,#0x54]; Load from Memory
sub_109314 17 001094dc ADD             SP, SP, #0x24; Rd = Op1 + Op2
pbl_flash_sdcc4 0 001094ec STMFD           SP!, {R4-R8,LR}; Store Block to Memory
pbl_flash_sdcc4 1 00109508 MOV             R0, #9; Rd = Op2
pbl_flash_sdcc4 2 00109540 LDR             R0, [R4,#0]; Load from Memory
pbl_flash_sdcc4 3 00109550 CMP             R0, #2; Set cond. codes on Op1 - Op2
pbl_flash_sdcc4 4 00109558 CMP             R0, #5; Set cond. codes on Op1 - Op2
pbl_flash_sdcc4 5 00109560 CMP             R0, #6; Set cond. codes on Op1 - Op2
pbl_flash_sdcc4 6 00109568 B               loc_109644; Branch
pbl_flash_sdcc4 7 0010956c LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc4 8 0010957c LDR             R1, [SP,#0x14]; Load from Memory
pbl_flash_sdcc4 9 00109594 BFC             R0, #0xA, #0x16; Bit Field Clear
pbl_flash_sdcc4 10 001095b8 MOV             R3, R5; a4
pbl_flash_sdcc4 11 001095c8 ADD             R0, R6, #1; Rd = Op1 + Op2
pbl_flash_sdcc4 12 001095dc STR             R0, [R4,#0x24]; Store to Memory
pbl_flash_sdcc4 13 001095e4 LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc4 14 00109618 MOV             R3, R5; a4
pbl_flash_sdcc4 15 00109628 ADD             R0, R6, #1; Rd = Op1 + Op2
pbl_flash_sdcc4 16 00109644 LDR             R0, [SP,#0xC]; Load from Memory
pbl_flash_sdcc4 17 00109650 STR             R5, [R4,#0x24]; Store to Memory
pbl_flash_sdcc4 18 00109654 MOV             R0, R8; Rd = Op2
pbl_flash_sdcc4 19 00109658 ADD             SP, SP, #0x28; Rd = Op1 + Op2
sub_10967C 0 0010967c STMFD           SP!, {R3-R11,LR}; Store Block to Memory
sub_10967C 1 001096ac LDR             R0, [R4,#0]; Load from Memory
sub_10967C 2 001096cc LDR             R2, [R4,#0x18]; Load from Memory
sub_10967C 3 001096e0 LDR             R0, [R4,#0xC]; Load from Memory
sub_10967C 4 001096ec CMP             R0, #0x200; Set cond. codes on Op1 - Op2
sub_10967C 5 001096f4 LDR             R0, [R4,#0x48]; Load from Memory
sub_10967C 6 00109704 SUBS            R3, R0, R5; Rd = Op1 - Op2
sub_10967C 7 00109710 LDR             R2, [R4,#0x30]; Load from Memory
sub_10967C 8 00109724 LDR             R12, [R4,#0x10]; Load from Memory
sub_10967C 9 0010974c BCC             loc_109770; Branch
sub_10967C 10 00109750 LDRB            R5, [R1],#1; Load from Memory
sub_10967C 11 00109770 MVN             R0, R0; Rd = ~Op2
sub_10967C 12 00109774 CMP             R12, R0; Set cond. codes on Op1 - Op2
sub_10967C 13 0010977c LDR             R0, [R4,#0x50]; Load from Memory
sub_10967C 14 00109790 CMP             R5, R7; Set cond. codes on Op1 - Op2
sub_10967C 15 0010979c EOR             R1, R1, R5; Rd = Op1 ^ Op2
sub_10967C 16 001097a8 STR             R6, [SP,#0]; Store to Memory
sub_10967C 17 001097c8 LDR             R0, [R8,#8]; Load from Memory
sub_10967C 18 001097d8 B               loc_109800; Branch
sub_10967C 19 001097dc RSBS            R2, R0, #1; Rd = Op2 - Op1
sub_10967C 20 001097e8 LDR             R2, [R4,#0x28]; Load from Memory
sub_10967C 21 001097fc B               loc_109724; Branch
sub_10967C 22 00109800 LDR             R2, [R4,#0x58]; Load from Memory
sub_10967C 23 00109810 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_10967C 24 00109820 LDRB            R12, [R6],#1; Load from Memory
sub_10967C 25 00109840 MVN             R0, R0; Rd = ~Op2
sub_10967C 26 0010984c CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10967C 27 00109854 MOV             R0, R4; Rd = Op2
sub_10967C 28 0010985c MOV             R0, #0; Rd = Op2
sub_109878 0 00109878 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_109878 1 001098b4 MOV             R1, #3; Rd = Op2
sub_109878 2 001098cc CMP             R0, #6; Set cond. codes on Op1 - Op2
sub_109878 3 001098d4 STR             R1, [SP,#8]; Store to Memory
sub_109878 4 001098f0 STR             R5, [R4,#0x10]; Store to Memory
sub_109878 5 001098f4 ADD             SP, SP, #0x48; Rd = Op1 + Op2
sub_109878 6 001098fc MOV             R0, #0x20000; Rd = Op2
sub_10991C 0 0010991c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_10991C 1 00109930 LDR             R0, [R4,#0x40]; Load from Memory
sub_10991C 2 0010993c MOV             R7, #0; Rd = Op2
sub_10991C 3 00109984 STR             R7, [SP,#0x40]; Store to Memory
sub_10991C 4 001099bc MOV             R0, #0x64; Rd = Op2
sub_10991C 5 001099d4 ADD             SP, SP, #0x48; Rd = Op1 + Op2
sub_10991C 6 001099e0 MOV             R6, #0; Rd = Op2
read_gpt 0 001099ec STMFD           SP!, {R3-R9,LR}; Store Block to Memory
read_gpt 1 00109a10 LDR             R0, [R8,#0x34]; Load from Memory
read_gpt 2 00109a24 LDR             R1, [R0,#0x34]; Load from Memory
read_gpt 3 00109a38 MOV             R3, #0; a4
read_gpt 4 00109a4c ADD             R0, R4, R5; Rd = Op1 + Op2
read_gpt 5 00109a58 MOV             R3, R9; a4
read_gpt 6 00109a6c TST             R5, #3; Set cond. codes on Op1 & Op2
read_gpt 7 00109a74 MOV             R3, R5; a4
read_gpt 8 00109a88 CMP             R9, #0; Set cond. codes on Op1 - Op2
read_gpt 9 00109a90 LDR             R1, [R8,#0x34]; Load from Memory
read_gpt 10 00109aa8 TST             R0, #pt_fl_head; Set cond. codes on Op1 & Op2
read_gpt 11 00109ab0 TST             R0, #0x8000; Set cond. codes on Op1 & Op2
read_gpt 12 00109ab8 CMP             R4, #0x20; Set cond. codes on Op1 - Op2
read_gpt 13 00109ac0 CMP             R5, #0x20; Set cond. codes on Op1 - Op2
read_gpt 14 00109ac8 CMP             R5, #0; Set cond. codes on Op1 - Op2
read_gpt 15 00109ad0 LDR             R0, [R1,#0x30]; Load from Memory
read_gpt 16 00109ae8 B               loc_109B30; Branch
read_gpt 17 00109aec LDR             R1, [R1,#0x30]; Load from Memory
read_gpt 18 00109b04 MOV             R3, #0x20; a4
read_gpt 19 00109b18 CMP             R5, #0x20; Set cond. codes on Op1 - Op2
read_gpt 20 00109b30 CMP             R4, #0; Set cond. codes on Op1 - Op2
read_gpt 21 00109b38 CMP             R4, #4; Set cond. codes on Op1 - Op2
read_gpt 22 00109b40 SUB             R4, R4, #4; Rd = Op1 - Op2
read_gpt 23 00109b4c ADDS            R0, R4, #1; Rd = Op1 + Op2
read_gpt 24 00109b54 LDRB            R1, [R7],#1; Load from Memory
read_gpt 25 00109b68 SUB             R9, R9, #4; Rd = Op1 - Op2
read_gpt 26 00109b6c CMP             R9, #0; Set cond. codes on Op1 - Op2
read_gpt 27 00109b74 LDR             R0, [R8,#0xC]; Load from Memory
read_gpt 28 00109b80 MOV             R0, #9; Rd = Op2
read_gpt 29 00109b88 LDR             R0, [R8,#0x34]; Load from Memory
read_gpt 30 00109bcc ADD             R2, R2, #1; Rd = Op1 + Op2
read_gpt 31 00109bd8 MOV             R0, #2; Rd = Op2
read_gpt 32 00109be0 STR             R3, [R0,#0x28]; Store to Memory
read_gpt 33 00109bf4 LDR             R1, [R0,#0x2C]; Load from Memory
read_gpt 34 00109c00 LDR             R1, [R0,#0x2C]; Load from Memory
read_gpt 35 00109c20 MOV             R0, #0; Rd = Op2
sub_109C50 0 00109c50 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_109CA4 0 00109ca4 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_109CA4 1 00109cbc MOV             R3, #0; a4
sub_109CA4 2 00109cd0 LDR             R0, [R4,#0x28]; Load from Memory
sub_109CA4 3 00109cf8 LDR             R1, [R4,#0x34]; Load from Memory
sub_109CA4 4 00109d10 LDR             R1, [R4,#0x34]; Load from Memory
sub_109D64 0 00109d64 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_109D64 1 00109d70 CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_109D64 2 00109d78 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_109D64 3 00109d8c BX              LR; Branch to/from Thumb mode
sub_109D64 4 00109d90 MOV             R0, #2; Rd = Op2
sub_109DA0 0 00109da0 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_109DA0 1 00109dac CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_109DA0 2 00109db4 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_109DA0 3 00109dc8 BX              LR; Branch to/from Thumb mode
sub_109DA0 4 00109dcc MOV             R0, #1; Rd = Op2
sub_109DDC 0 00109ddc CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_109DDC 1 00109de8 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_109DDC 2 00109e04 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_109DDC 3 00109e10 LDR             R0, [R1,#0xB0]; Load from Memory
sub_109DDC 4 00109e28 LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_109DDC 5 00109e2c LDR             R0, [R1,#0xC0]; Load from Memory
sub_109E48 0 00109e48 STMFD           SP!, {R4-R12,LR}; Store Block to Memory
sub_109E48 1 00109e68 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_109E48 2 00109e74 LDRB            R0, [R6,#0x31]; Load from Memory
sub_109E48 3 00109e84 LDR             R0, [R6,#8]; Load from Memory
sub_109E48 4 00109e98 LDR             R0, [R6,#4]; Load from Memory
sub_109E48 5 00109eac LDR             R1, [R1,#0x18]; Load from Memory
sub_109E48 6 00109eb8 UBFX            R2, R1, #0x18, #3; Unsigned Bit Field Extract
sub_109E48 7 00109ec4 UBFX            R1, R1, #0x15, #3; Unsigned Bit Field Extract
sub_109E48 8 00109ed4 MOV             R1, #0x10; Rd = Op2
sub_109E48 9 00109ef4 MOV             R2, #8; Rd = Op2
sub_109E48 10 00109f0c STR             R4, [R5,#0]; Store to Memory
sub_109E48 11 00109f18 SUB             R9, R1, R12; Rd = Op1 - Op2
sub_109E48 12 00109f34 MOV             LR, R2; Rd = Op2
sub_109E48 13 00109f44 ADD             R10, R7, R0,LSL#3; Rd = Op1 + Op2
sub_109E48 14 00109f54 CMP             R9, #0; Set cond. codes on Op1 - Op2
sub_109E48 15 00109f5c ADD             R0, LR, R12; Rd = Op1 + Op2
sub_109E48 16 00109f6c LDR             R0, [R6,#8]; Load from Memory
sub_109E48 17 00109f7c MOV             R4, #0; Rd = Op2
sub_109E48 18 00109f80 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_109E48 19 00109f88 B               loc_109F9C; Branch
sub_109E48 20 00109f8c ADD             R0, R0, #1; Rd = Op1 + Op2
sub_109E48 21 00109f98 B               loc_109F6C; Branch
sub_109E48 22 00109f9c LDR             R1, =dword_8004128; Load from Memory
sub_109E48 23 00109fb8 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_109E48 24 00109fc0 LDRB            R0, [R6,#0x31]; Load from Memory
sub_109E48 25 00109fc8 MOV             R2, #0x3C; Rd = Op2
sub_10A004 0 0010a004 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_10A004 1 0010a014 ADD             R1, R4, #4; Rd = Op1 + Op2
sub_10A004 2 0010a024 LDR             R0, [R4,#4]; Load from Memory
sub_10A004 3 0010a038 MOV             R0, R5; Rd = Op2
sub_10A040 0 0010a040 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_10A040 1 0010a050 CMP             R0, #4; Set cond. codes on Op1 - Op2
sub_10A040 2 0010a05c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_10A040 3 0010a068 MOV             R0, #0; Rd = Op2
sub_10A040 4 0010a06c LDMFD           SP!, {R4,PC}; Load Block from Memory
sub_10A070 0 0010a070 LDR             R1, [R0,#0]; Load from Memory
sub_10A070 1 0010a07c LDR             R0, [R0,#0x18]; Load from Memory
sub_10A070 2 0010a088 UBFX            R1, R0, #0x18, #3; Unsigned Bit Field Extract
sub_10A070 3 0010a094 UBFX            R0, R0, #0x15, #3; Unsigned Bit Field Extract
sub_10A070 4 0010a0a8 MOV             R0, #0; Rd = Op2
sub_10A070 5 0010a0ac BX              LR; Branch to/from Thumb mode
sub_10A0B0 0 0010a0b0 STMFD           SP!, {R4-R9}; Store Block to Memory
sub_10A0B0 1 0010a0c0 LDR             R7, [R1,#0]; Load from Memory
sub_10A0B0 2 0010a0d4 LDRH            R0, [R7,#0x2C]; Load from Memory
sub_10A0B0 3 0010a0f8 CMP             R4, #0x280; Set cond. codes on Op1 - Op2
sub_10A0B0 4 0010a100 MOV             R0, #0x117; Rd = Op2
sub_10A0B0 5 0010a104 LDMFD           SP!, {R4-R9}; Load Block from Memory
sub_10A0B0 6 0010a10c LDMFD           SP!, {R4-R9}; Load Block from Memory
sub_10A0B0 7 0010a118 LDR             R3, [R1,#4]; Load from Memory
sub_10A0B0 8 0010a128 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 9 0010a13c CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 10 0010a144 CMP             R6, R3; Set cond. codes on Op1 - Op2
